op_name,0,1,delta_vec4,n_correct
30_Gemm_GroupNorm_Hardtanh,0.6980807992859163,0.0,-0.6980807992859163,41
30_Softsign,2.120157038526876,2.120157038526876,0.0,69
31_Conv2d_Min_Add_Multiply,1.0983881023195057,0.9505281654688028,-0.14785993685070287,45
31_ELU,0.9740062856248448,0.9740062856248448,0.0,70
32_Conv2d_Scaling_Min,1.2198094988153094,0.0,-1.2198094988153094,41
32_HardTanh,0.9097143608544552,0.9097143608544552,0.0,54
33_BatchNorm,0.3729478959093756,0.4785681798485881,0.10562028393921252,43
33_Gemm_Scale_BatchNorm,0.9545555846257644,0.8467831799099522,-0.10777240471581218,41
33_VanillaRNN,0.7806500858243773,0.8043061490311767,0.02365606320679936,46
34_ConvTranspose3d_LayerNorm_GELU_Scaling,1.0332650815656579,1.053696262299043,0.020431180733385013,49
