op_name,0,1,delta_shared,n_correct
2_Standard_matrix_multiplication_,0.126764440323308,0.2137159282837681,0.0869514879604601,44
30_Gemm_GroupNorm_Hardtanh,0.2901661153658326,0.7190792190505327,0.42891310368470015,41
30_Softsign,2.120157038526876,2.120157038526876,0.0,69
31_Conv2d_Min_Add_Multiply,1.1494759210320409,0.6864925639496909,-0.46298335708234994,45
31_ELU,0.9740062856248448,0.9740062856248448,0.0,70
32_Conv2d_Scaling_Min,1.2198094988153094,1.2056256674337362,-0.014183831381573198,41
32_HardTanh,0.9097143608544552,0.9097143608544552,0.0,54
33_BatchNorm,0.02303541232765295,0.3762171626975226,0.35318175036986965,43
33_Gemm_Scale_BatchNorm,0.8467831799099522,0.9722325398966118,0.12544935998665963,41
33_VanillaRNN,0.7806500858243773,0.7806500858243773,0.0,46
